Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0033183,1.7612E-06,-0.24794,0,0,0,5.4796,0.36605,-2.0049E-09,1.5542E-08,0.19294,-3.1213E-09,0.31414,0,0,0,0,0,0,package://volcaniarm/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://volcaniarm/meshes/base_link.STL,,volcaniarm_table_base-2,table_base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_table_leg_link,-8.8818E-16,2.2204E-16,0.22347,0,0,0,0.15157,0.0028107,-1.2289E-19,2.4795E-22,0.0028135,-2.1305E-20,5.0184E-05,0,0,0,0,0,0,package://volcaniarm/meshes/fl_table_leg_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/fl_table_leg_link.STL,,table_leg-1,fl_table_leg_cs,fl_table_leg_axis,fl_table_leg_joint,fixed,0.340000000000002,0.697999999999994,-0.883,0,0,0,base_link,0,0,0,,,,,,,,,,,,
fl_caster_wheel_mount_link,-0.011459,-7.0567E-09,-0.011665,0,0,0,0.047319,1.6675E-05,-8.0944E-11,-8.1003E-07,2.9049E-05,-7.8988E-11,3.76E-05,0,0,0,0,0,0,package://volcaniarm/meshes/fl_caster_wheel_mount_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/fl_caster_wheel_mount_link.STL,,caster_wheel_mount-9,fl_caster_wheel_mount_cs,fl_caster_wheel_mount_axis,fl_caster_wheel_mount_joint,fixed,0,0,0,0,0,0,fl_table_leg_link,0,0,0,,,,,,,,,,,,
fl_caster_wheel_link,-4.4409E-16,-5.3545E-05,2.2204E-16,0,0,0,0.12084,4.6943E-05,2.818E-17,-1.6458E-15,7.6353E-05,4.9306E-17,4.6943E-05,0,0,0,0,0,0,package://volcaniarm/meshes/fl_caster_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/fl_caster_wheel_link.STL,,caster_wheel_rubber-6,fl_caster_wheel_cs,fl_caster_wheel_axis,fl_caster_wheel_joint,fixed,-0.0324999999999998,0,-0.0595000000000001,0,0,0,fl_caster_wheel_mount_link,0,0,0,,,,,,,,,,,,
fr_table_leg_link,-4.4409E-16,-5.5511E-17,0.22347,0,0,0,0.15157,0.0028107,-2.7275E-19,3.0345E-21,0.0028135,-2.0783E-19,5.0184E-05,0,0,0,0,0,0,package://volcaniarm/meshes/fr_table_leg_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/fr_table_leg_link.STL,,table_leg-3,fr_table_leg_cs,fr_table_leg_axis,fr_table_leg_joint,fixed,0.340000000000005,-0.697999999999998,-0.883,0,0,0,base_link,0,0,0,,,,,,,,,,,,
fr_caster_wheel_mount_link,-0.011459,-7.0567E-09,-0.011665,0,0,0,0.047319,1.6675E-05,-8.0944E-11,-8.1003E-07,2.9049E-05,-7.8988E-11,3.76E-05,0,0,0,0,0,0,package://volcaniarm/meshes/fr_caster_wheel_mount_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/fr_caster_wheel_mount_link.STL,,caster_wheel_mount-10,fr_caster_wheel_mount_cs,fr_caster_wheel_mount_axis,fr_caster_wheel_mount_joint,fixed,0,0,0,0,0,0,fr_table_leg_link,0,0,0,,,,,,,,,,,,
fr_caster_wheel_link,4.4409E-16,-5.3545E-05,0,0,0,0,0.12084,4.6943E-05,2.8346E-17,-1.6458E-15,7.6353E-05,4.9175E-17,4.6943E-05,0,0,0,0,0,0,package://volcaniarm/meshes/fr_caster_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/fr_caster_wheel_link.STL,,caster_wheel_rubber-3,fr_caster_wheel_cs,fr_caster_wheel_axis,fr_caster_wheel_joint,fixed,-0.0324999999999998,0,-0.0594999999999999,0,0,0,fr_caster_wheel_mount_link,0,0,0,,,,,,,,,,,,
rl_table_leg_link,2.2204E-16,4.4409E-16,0.22347,0,0,0,0.15157,0.0028107,-3.2292E-21,2.9898E-19,0.0028135,-1.4409E-18,5.0184E-05,0,0,0,0,0,0,package://volcaniarm/meshes/rl_table_leg_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/rl_table_leg_link.STL,,table_leg-2,rl_table_leg_cs,rl_table_leg_axis,rl_table_leg_joint,fixed,-0.340000000000005,0.697999999999997,-0.883,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rl_caster_wheel_mount_link,-0.011459,-7.0567E-09,-0.011665,0,0,0,0.047319,1.6675E-05,-8.0944E-11,-8.1003E-07,2.9049E-05,-7.8988E-11,3.76E-05,0,0,0,0,0,0,package://volcaniarm/meshes/rl_caster_wheel_mount_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/rl_caster_wheel_mount_link.STL,,caster_wheel_mount-8,rl_caster_wheel_mount_cs,rl_caster_wheel_mount_axis,rl_caster_wheel_mount_joint,fixed,0,0,0,0,0,0,rl_table_leg_link,0,0,0,,,,,,,,,,,,
rl_caster_wheel_link,-4.4409E-16,-5.3545E-05,0,0,0,0,0.12084,4.6943E-05,2.8172E-17,-1.6458E-15,7.6353E-05,4.8938E-17,4.6943E-05,0,0,0,0,0,0,package://volcaniarm/meshes/rl_caster_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://volcaniarm/meshes/rl_caster_wheel_link.STL,,caster_wheel_rubber-5,rl_caster_wheel_cs,rl_caster_wheel_axis,rl_caster_wheel_joint,fixed,-0.0325,0,-0.0595,0,0,0,rl_caster_wheel_mount_link,0,0,0,,,,,,,,,,,,
